age	{age:28966, american:3554, april:784, area:881, both:857, century:1054, city:7543, county:4600, december:626, early:1582, film:605, first:2599, high:1063, history:1713, including:4773, january:686, john:997, july:638, june:635, known:1195, life:1446, made:4312, march:634, national:945, news:629, north:760, november:585, october:638, org:909, part:973, people:2974, population:14346, press:839, school:1940, september:580, south:623, state:1035, states:944, three:1103, through:973, time:1940, town:4047, two:3100, united:1012, university:1203, war:911, world:1495, year:1627, years:20103, york:993}
american	{age:3554, american:51032, april:2922, area:1557, both:1883, century:2172, city:4919, county:2927, december:2472, early:2418, film:5113, first:6589, high:1840, history:4305, including:2388, january:3101, john:5223, july:2455, june:2711, known:2743, life:2656, made:3288, march:2790, national:4021, news:1982, north:3127, november:2345, october:2557, org:3117, part:1902, people:9733, population:6989, press:3259, school:2113, september:2707, south:2639, state:2893, states:6924, three:1969, through:1791, time:3679, town:1805, two:6476, united:6989, university:5379, war:5637, world:4399, year:2522, years:2944, york:5554}
april	{age:784, american:2922, april:14928, area:1131, both:1641, century:991, city:2726, county:1253, december:3165, early:1567, film:1502, first:5281, high:1520, history:2334, including:1711, january:3449, john:2046, july:3433, june:3788, known:1726, life:1680, made:1824, march:5185, national:2368, news:4552, north:1362, november:2991, october:3393, org:3333, part:1850, people:2438, population:897, press:1695, school:1460, september:3281, south:1517, state:2027, states:2155, three:1863, through:1574, time:3386, town:974, two:3748, united:2864, university:2358, war:2468, world:3268, year:2596, years:2283, york:2301}
area	{age:881, american:1557, april:1131, area:12404, both:1628, century:2022, city:8743, county:6453, december:951, early:1708, film:449, first:3621, high:2080, history:2925, including:1954, january:1049, john:981, july:999, june:966, known:2680, life:769, made:1433, march:1098, national:2434, news:913, north:4134, november:863, october:893, org:1384, part:3587, people:3213, population:4185, press:650, school:2019, september:1040, south:3739, state:2759, states:3517, three:1770, through:2313, time:2218, town:4031, two:3531, united:3491, university:1596, war:1789, world:1917, year:1432, years:1870, york:1093}
both	{age:857, american:1883, april:1641, area:1628, both:5592, century:2068, city:2327, county:910, december:1300, early:2313, film:1482, first:6536, high:2505, history:2438, including:2403, january:1460, john:1799, july:1410, june:1372, known:3012, life:2250, made:2810, march:1599, national:2028, news:1634, north:1639, november:1342, october:1374, org:1760, part:2500, people:2449, population:774, press:1387, school:1527, september:1530, south:1675, state:2404, states:2233, three:2988, through:3125, time:4969, town:1001, two:7576, united:2165, university:2130, war:2657, world:3402, year:2345, years:2776, york:1536}
century	{age:1054, american:2172, april:991, area:2022, both:2068, century:13140, city:3478, county:898, december:843, early:5060, film:717, first:6548, high:1234, history:4791, including:1819, january:992, john:2480, july:759, june:837, known:3355, life:1847, made:2354, march:1068, national:1441, news:586, north:1939, november:721, october:808, org:1378, part:2646, people:3428, population:1443, press:2146, school:1121, september:830, south:1765, state:1898, states:1805, three:1769, through:2060, time:3599, town:2234, two:3351, united:1515, university:2593, war:2630, world:3076, year:1656, years:2312, york:1512}
city	{age:7543, american:4919, april:2726, area:8743, both:2327, century:3478, city:48716, county:9974, december:2240, early:2426, film:1569, first:6974, high:2820, history:5102, including:4056, january:2625, john:2465, july:2432, june:2384, known:3545, life:1827, made:2755, march:2616, national:3981, news:2855, north:5407, november:2414, october:2467, org:2693, part:4067, people:6194, population:9326, press:1835, school:4095, september:2678, south:5314, state:6346, states:6749, three:2856, through:3035, time:3957, town:5497, two:6070, united:7225, university:4329, war:3318, world:4538, year:3565, years:5573, york:7194}
county	{age:4600, american:2927, april:1253, area:6453, both:910, century:898, city:9974, county:75224, december:1165, early:1163, film:301, first:2686, high:1473, history:3873, including:1983, january:1250, john:1824, july:1104, june:1033, known:1163, life:597, made:956, march:1353, national:3580, news:1076, north:6033, november:1102, october:818, org:1849, part:3286, people:3325, population:6822, press:576, school:3880, september:959, south:4976, state:8620, states:7087, three:1285, through:1515, time:1245, town:7326, two:2582, united:6970, university:1822, war:2419, world:836, year:1535, years:2236, york:2883}
december	{age:626, american:2472, april:3165, area:951, both:1300, century:843, city:2240, county:1165, december:12724, early:1422, film:1576, first:4541, high:1180, history:1944, including:1404, january:4304, john:2010, july:2874, june:2945, known:1430, life:1522, made:1499, march:3674, national:2076, news:3820, north:1170, november:3875, october:3436, org:2658, part:1434, people:2012, population:738, press:1424, school:1157, september:3014, south:1320, state:1894, states:1947, three:1618, through:1386, time:2832, town:643, two:3031, united:2497, university:1729, war:2082, world:2682, year:2480, years:1940, york:2028}
early	{age:1582, american:2418, april:1567, area:1708, both:2313, century:5060, city:2426, county:1163, december:1422, early:6018, film:1412, first:7206, high:1851, history:4087, including:2205, january:1492, john:2359, july:1383, june:1372, known:3453, life:3201, made:2574, march:1637, national:1561, news:1301, north:1587, november:1320, october:1427, org:1686, part:2383, people:1968, population:752, press:1832, school:1889, september:1461, south:1503, state:1811, states:1844, three:2223, through:2271, time:4424, town:1452, two:4374, united:1815, university:2468, war:2558, world:2922, year:2171, years:3512, york:2042}
