first	42276
city	33146
two	32565
american	29215
united	28849
time	28369
county	27917
world	27485
university	27048
states	26856
years	24147
people	24062
history	23324
state	23109
war	23095
school	20039
national	19814
york	19687
john	19318
year	19188
news	17788
age	17521
org	17388
march	17042
north	17022
april	16965
part	16871
known	16807
three	16733
south	16700
made	16563
population	16106
january	16100
september	15642
press	15566
area	15457
october	15340
film	15272
july	15259
high	15195
through	15108
june	15096
town	15046
life	14893
including	14881
early	14804
december	14795
century	14601
both	14530
november	14409
